方剂名称,方剂名称的url
增液解毒汤,https://zhongyibaike.com/wiki/增液解毒汤
皂角散,https://zhongyibaike.com/wiki/皂角散
凉膈散,https://zhongyibaike.com/wiki/凉膈散
普济消毒饮,https://zhongyibaike.com/wiki/普济消毒饮
仙方活命饮,https://zhongyibaike.com/wiki/仙方活命饮
五味消毒饮,https://zhongyibaike.com/wiki/五味消毒饮
四妙勇安汤,https://zhongyibaike.com/wiki/四妙勇安汤
五福化毒丸,https://zhongyibaike.com/wiki/五福化毒丸
温清饮,https://zhongyibaike.com/wiki/温清饮
猪肤汤,https://zhongyibaike.com/wiki/猪肤汤
驻车丸,https://zhongyibaike.com/wiki/驻车丸
六神丸,https://zhongyibaike.com/wiki/六神丸
冰硼散,https://zhongyibaike.com/wiki/冰硼散
内消瘰疬丸,https://zhongyibaike.com/wiki/内消瘰疬丸
牛黄上清丸,https://zhongyibaike.com/wiki/牛黄上清丸
清咽丸,https://zhongyibaike.com/wiki/清咽丸
上清丸,https://zhongyibaike.com/wiki/上清丸
四黄膏,https://zhongyibaike.com/wiki/四黄膏
赤小豆当归散,https://zhongyibaike.com/wiki/赤小豆当归散
紫雪散,https://zhongyibaike.com/wiki/紫雪散
自然铜散,https://zhongyibaike.com/wiki/自然铜散
导赤散,https://zhongyibaike.com/wiki/导赤散
增味导赤散,https://zhongyibaike.com/wiki/增味导赤散
皂刺大黄汤,https://zhongyibaike.com/wiki/皂刺大黄汤
清心莲子饮,https://zhongyibaike.com/wiki/清心莲子饮
泽泻汤,https://zhongyibaike.com/wiki/泽泻汤
泻青丸,https://zhongyibaike.com/wiki/泻青丸
当归龙荟丸,https://zhongyibaike.com/wiki/当归龙荟丸
左金丸,https://zhongyibaike.com/wiki/左金丸
香连丸,https://zhongyibaike.com/wiki/香连丸
戊己丸,https://zhongyibaike.com/wiki/戊己丸
桔梗汤,https://zhongyibaike.com/wiki/桔梗汤
芍药汤,https://zhongyibaike.com/wiki/芍药汤
黄芩汤,https://zhongyibaike.com/wiki/黄芩汤
黄芩加半夏生姜汤,https://zhongyibaike.com/wiki/黄芩加半夏生姜汤
葛根黄芩黄连汤,https://zhongyibaike.com/wiki/葛根黄芩黄连汤
玉女煎,https://zhongyibaike.com/wiki/玉女煎
白头翁汤,https://zhongyibaike.com/wiki/白头翁汤
葶苈大枣泻肺汤,https://zhongyibaike.com/wiki/葶苈大枣泻肺汤
清胃散,https://zhongyibaike.com/wiki/清胃散
泻黄散,https://zhongyibaike.com/wiki/泻黄散
白头翁加甘草阿胶汤,https://zhongyibaike.com/wiki/白头翁加甘草阿胶汤
防风通圣散,https://zhongyibaike.com/wiki/防风通圣散
苇茎汤,https://zhongyibaike.com/wiki/苇茎汤
泻白散,https://zhongyibaike.com/wiki/泻白散
柴胡桂枝干姜汤,https://zhongyibaike.com/wiki/柴胡桂枝干姜汤
五积散,https://zhongyibaike.com/wiki/五积散
石膏汤,https://zhongyibaike.com/wiki/石膏汤
栀子大黄汤,https://zhongyibaike.com/wiki/栀子大黄汤
青蒿鳖甲汤,https://zhongyibaike.com/wiki/青蒿鳖甲汤
清骨散,https://zhongyibaike.com/wiki/清骨散
秦艽鳖甲散,https://zhongyibaike.com/wiki/秦艽鳖甲散
当归六黄汤,https://zhongyibaike.com/wiki/当归六黄汤
百合地黄汤,https://zhongyibaike.com/wiki/百合地黄汤
百合知母汤,https://zhongyibaike.com/wiki/百合知母汤
百合洗方,https://zhongyibaike.com/wiki/百合洗方
滑石代赭汤,https://zhongyibaike.com/wiki/滑石代赭汤
清络饮,https://zhongyibaike.com/wiki/清络饮
香薷散,https://zhongyibaike.com/wiki/香薷散
六一散,https://zhongyibaike.com/wiki/六一散
益元散,https://zhongyibaike.com/wiki/益元散
碧玉散,https://zhongyibaike.com/wiki/碧玉散
鸡苏散,https://zhongyibaike.com/wiki/鸡苏散
桂苓甘露散,https://zhongyibaike.com/wiki/桂苓甘露散
清暑益气汤,https://zhongyibaike.com/wiki/清暑益气汤
理中丸,https://zhongyibaike.com/wiki/理中丸
增损理中丸,https://zhongyibaike.com/wiki/增损理中丸
附子理中丸,https://zhongyibaike.com/wiki/附子理中丸
桂附理中丸,https://zhongyibaike.com/wiki/桂附理中丸
桂枝人参汤,https://zhongyibaike.com/wiki/桂枝人参汤
黄芪建中汤,https://zhongyibaike.com/wiki/黄芪建中汤
吴茱萸汤,https://zhongyibaike.com/wiki/吴茱萸汤
当归建中汤,https://zhongyibaike.com/wiki/当归建中汤
大建中汤,https://zhongyibaike.com/wiki/大建中汤
小建中汤,https://zhongyibaike.com/wiki/小建中汤
理中化痰丸,https://zhongyibaike.com/wiki/理中化痰丸
当归生姜羊肉汤,https://zhongyibaike.com/wiki/当归生姜羊肉汤
四逆汤,https://zhongyibaike.com/wiki/四逆汤
通脉四逆汤,https://zhongyibaike.com/wiki/通脉四逆汤
四逆加人参汤,https://zhongyibaike.com/wiki/四逆加人参汤
回阳救急汤,https://zhongyibaike.com/wiki/回阳救急汤
白通汤,https://zhongyibaike.com/wiki/白通汤
白通加猪胆汁汤,https://zhongyibaike.com/wiki/白通加猪胆汁汤
参附汤,https://zhongyibaike.com/wiki/参附汤
黑锡丹,https://zhongyibaike.com/wiki/黑锡丹
干姜附子汤,https://zhongyibaike.com/wiki/干姜附子汤
茯苓四逆汤,https://zhongyibaike.com/wiki/茯苓四逆汤
乌头赤石脂丸,https://zhongyibaike.com/wiki/乌头赤石脂丸
当归四逆汤,https://zhongyibaike.com/wiki/当归四逆汤
当归四逆加吴茱萸生姜汤,https://zhongyibaike.com/wiki/当归四逆加吴茱萸生姜汤
黄芪桂枝五物汤,https://zhongyibaike.com/wiki/黄芪桂枝五物汤
楂橘丸,https://zhongyibaike.com/wiki/楂橘丸
阳和汤,https://zhongyibaike.com/wiki/阳和汤
中和汤,https://zhongyibaike.com/wiki/中和汤
小金丹,https://zhongyibaike.com/wiki/小金丹
芍药甘草附子汤,https://zhongyibaike.com/wiki/芍药甘草附子汤
乌头汤,https://zhongyibaike.com/wiki/乌头汤
附子粳米汤,https://zhongyibaike.com/wiki/附子粳米汤
赤丸,https://zhongyibaike.com/wiki/赤丸
大乌头煎,https://zhongyibaike.com/wiki/大乌头煎
乌头桂枝汤,https://zhongyibaike.com/wiki/乌头桂枝汤
四君子汤,https://zhongyibaike.com/wiki/四君子汤
掌胃膏,https://zhongyibaike.com/wiki/掌胃膏
黄芪六一汤,https://zhongyibaike.com/wiki/黄芪六一汤
增损肾沥汤,https://zhongyibaike.com/wiki/增损肾沥汤
三才汤,https://zhongyibaike.com/wiki/三才汤
枣参丸,https://zhongyibaike.com/wiki/枣参丸
乌鸡白凤丸,https://zhongyibaike.com/wiki/乌鸡白凤丸
枣肉豆蔻丸,https://zhongyibaike.com/wiki/枣肉豆蔻丸
六君子汤,https://zhongyibaike.com/wiki/六君子汤
香砂六君子汤,https://zhongyibaike.com/wiki/香砂六君子汤
泽兰膏,https://zhongyibaike.com/wiki/泽兰膏
异功散,https://zhongyibaike.com/wiki/异功散
补中益气汤,https://zhongyibaike.com/wiki/补中益气汤
参苓白术散,https://zhongyibaike.com/wiki/参苓白术散
保元汤,https://zhongyibaike.com/wiki/保元汤
七味白术散,https://zhongyibaike.com/wiki/七味白术散
升阳益胃汤,https://zhongyibaike.com/wiki/升阳益胃汤
举元煎,https://zhongyibaike.com/wiki/举元煎
生脉散,https://zhongyibaike.com/wiki/生脉散
升陷汤,https://zhongyibaike.com/wiki/升陷汤
人参胡桃汤,https://zhongyibaike.com/wiki/人参胡桃汤
完带汤,https://zhongyibaike.com/wiki/完带汤
人参蛤蚧散,https://zhongyibaike.com/wiki/人参蛤蚧散
玉屏风散,https://zhongyibaike.com/wiki/玉屏风散
清带汤,https://zhongyibaike.com/wiki/清带汤
易黄汤,https://zhongyibaike.com/wiki/易黄汤
人参健脾丸,https://zhongyibaike.com/wiki/人参健脾丸
苍附六君汤,https://zhongyibaike.com/wiki/苍附六君汤
柴术六君汤,https://zhongyibaike.com/wiki/柴术六君汤
理冲汤,https://zhongyibaike.com/wiki/理冲汤
补肾固冲丸,https://zhongyibaike.com/wiki/补肾固冲丸
足精丸,https://zhongyibaike.com/wiki/足精丸
交泰丸,https://zhongyibaike.com/wiki/交泰丸
四物汤,https://zhongyibaike.com/wiki/四物汤
养精种玉汤,https://zhongyibaike.com/wiki/养精种玉汤
桃红四物汤,https://zhongyibaike.com/wiki/桃红四物汤
贞元饮,https://zhongyibaike.com/wiki/贞元饮
增损当归丸,https://zhongyibaike.com/wiki/增损当归丸
圣愈汤,https://zhongyibaike.com/wiki/圣愈汤
泽兰汤,https://zhongyibaike.com/wiki/泽兰汤
胶艾汤,https://zhongyibaike.com/wiki/胶艾汤
当归补血汤,https://zhongyibaike.com/wiki/当归补血汤
归脾汤,https://zhongyibaike.com/wiki/归脾汤
当归饮子,https://zhongyibaike.com/wiki/当归饮子
胎元饮,https://zhongyibaike.com/wiki/胎元饮
清肝止淋汤,https://zhongyibaike.com/wiki/清肝止淋汤
上下相资汤,https://zhongyibaike.com/wiki/上下相资汤
大营煎,https://zhongyibaike.com/wiki/大营煎
调经种玉汤,https://zhongyibaike.com/wiki/调经种玉汤
人参养荣汤,https://zhongyibaike.com/wiki/人参养荣汤
足卫和荣汤,https://zhongyibaike.com/wiki/足卫和荣汤
增损乐令汤,https://zhongyibaike.com/wiki/增损乐令汤
增损泽兰丸,https://zhongyibaike.com/wiki/增损泽兰丸
增损四物汤,https://zhongyibaike.com/wiki/增损四物汤
八珍汤,https://zhongyibaike.com/wiki/八珍汤
枣仁汤,https://zhongyibaike.com/wiki/枣仁汤
增损柴胡汤,https://zhongyibaike.com/wiki/增损柴胡汤
赞化血余丹,https://zhongyibaike.com/wiki/赞化血余丹
十全大补汤,https://zhongyibaike.com/wiki/十全大补汤
炙甘草汤,https://zhongyibaike.com/wiki/炙甘草汤
加减复脉汤,https://zhongyibaike.com/wiki/加减复脉汤
泰山磐石散,https://zhongyibaike.com/wiki/泰山磐石散
八珍益母丸,https://zhongyibaike.com/wiki/八珍益母丸
固本止崩汤,https://zhongyibaike.com/wiki/固本止崩汤
毓麟珠,https://zhongyibaike.com/wiki/毓麟珠
大补元煎,https://zhongyibaike.com/wiki/大补元煎
玉灵膏,https://zhongyibaike.com/wiki/玉灵膏
通乳丹,https://zhongyibaike.com/wiki/通乳丹
救坤丹,https://zhongyibaike.com/wiki/救坤丹
六味地黄丸,https://zhongyibaike.com/wiki/六味地黄丸
知柏地黄丸,https://zhongyibaike.com/wiki/知柏地黄丸
都气丸,https://zhongyibaike.com/wiki/都气丸
麦味地黄丸,https://zhongyibaike.com/wiki/麦味地黄丸
杞菊地黄丸,https://zhongyibaike.com/wiki/杞菊地黄丸
明目地黄丸,https://zhongyibaike.com/wiki/明目地黄丸
补肾固齿丸,https://zhongyibaike.com/wiki/补肾固齿丸
左归丸,https://zhongyibaike.com/wiki/左归丸
左归饮,https://zhongyibaike.com/wiki/左归饮
一贯煎,https://zhongyibaike.com/wiki/一贯煎
大补阴丸,https://zhongyibaike.com/wiki/大补阴丸
虎潜丸,https://zhongyibaike.com/wiki/虎潜丸
二至丸,https://zhongyibaike.com/wiki/二至丸
桑麻丸,https://zhongyibaike.com/wiki/桑麻丸
月华丸,https://zhongyibaike.com/wiki/月华丸
补肺阿胶汤,https://zhongyibaike.com/wiki/补肺阿胶汤
石斛夜光丸,https://zhongyibaike.com/wiki/石斛夜光丸
蛤蚧定喘丸,https://zhongyibaike.com/wiki/蛤蚧定喘丸
保阴煎,https://zhongyibaike.com/wiki/保阴煎
引火汤,https://zhongyibaike.com/wiki/引火汤
黄连阿胶汤,https://zhongyibaike.com/wiki/黄连阿胶汤
肾气丸,https://zhongyibaike.com/wiki/肾气丸
二仙汤,https://zhongyibaike.com/wiki/二仙汤
济生肾气丸,https://zhongyibaike.com/wiki/济生肾气丸
增益八味丸,https://zhongyibaike.com/wiki/增益八味丸
十补丸,https://zhongyibaike.com/wiki/十补丸
右归饮,https://zhongyibaike.com/wiki/右归饮
右归丸,https://zhongyibaike.com/wiki/右归丸
温胞饮,https://zhongyibaike.com/wiki/温胞饮
秃鸡散,https://zhongyibaike.com/wiki/秃鸡散
补天大造丸,https://zhongyibaike.com/wiki/补天大造丸
青蛾丸,https://zhongyibaike.com/wiki/青蛾丸
地黄饮子,https://zhongyibaike.com/wiki/地黄饮子
龟鹿二仙胶,https://zhongyibaike.com/wiki/龟鹿二仙胶
七宝美髯丹,https://zhongyibaike.com/wiki/七宝美髯丹
抗骨增生丸,https://zhongyibaike.com/wiki/抗骨增生丸
赞育丹,https://zhongyibaike.com/wiki/赞育丹
翟平薯蓣丸,https://zhongyibaike.com/wiki/翟平薯蓣丸
牡蛎散,https://zhongyibaike.com/wiki/牡蛎散
九仙散,https://zhongyibaike.com/wiki/九仙散
真人养脏汤,https://zhongyibaike.com/wiki/真人养脏汤
燥肠丸,https://zhongyibaike.com/wiki/燥肠丸
赤石脂禹余粮汤,https://zhongyibaike.com/wiki/赤石脂禹余粮汤
桃花汤,https://zhongyibaike.com/wiki/桃花汤
四神丸,https://zhongyibaike.com/wiki/四神丸
金锁固精丸,https://zhongyibaike.com/wiki/金锁固精丸
锁阳固精丸,https://zhongyibaike.com/wiki/锁阳固精丸
水陆二仙丹,https://zhongyibaike.com/wiki/水陆二仙丹
缩泉丸,https://zhongyibaike.com/wiki/缩泉丸
桑螵蛸散,https://zhongyibaike.com/wiki/桑螵蛸散
五子衍宗丸,https://zhongyibaike.com/wiki/五子衍宗丸
封髓丹,https://zhongyibaike.com/wiki/封髓丹
寿胎丸,https://zhongyibaike.com/wiki/寿胎丸
固冲汤,https://zhongyibaike.com/wiki/固冲汤
固经丸,https://zhongyibaike.com/wiki/固经丸
震灵丹,https://zhongyibaike.com/wiki/震灵丹
朱砂安神丸,https://zhongyibaike.com/wiki/朱砂安神丸
磁朱丸,https://zhongyibaike.com/wiki/磁朱丸
生铁落饮,https://zhongyibaike.com/wiki/生铁落饮
珍珠母丸,https://zhongyibaike.com/wiki/珍珠母丸
柴胡加龙骨牡蛎汤,https://zhongyibaike.com/wiki/柴胡加龙骨牡蛎汤
牛黄抱龙丸,https://zhongyibaike.com/wiki/牛黄抱龙丸
桂枝甘草龙骨牡蛎汤,https://zhongyibaike.com/wiki/桂枝甘草龙骨牡蛎汤
桂枝去芍药加蜀漆牡蛎龙骨救逆汤,https://zhongyibaike.com/wiki/桂枝去芍药加蜀漆牡蛎龙骨救逆汤
风引汤,https://zhongyibaike.com/wiki/风引汤
天王补心丹,https://zhongyibaike.com/wiki/天王补心丹
柏子养心丸,https://zhongyibaike.com/wiki/柏子养心丸
枕中丹,https://zhongyibaike.com/wiki/枕中丹
酸枣仁汤,https://zhongyibaike.com/wiki/酸枣仁汤
定志丸,https://zhongyibaike.com/wiki/定志丸
甘麦大枣汤,https://zhongyibaike.com/wiki/甘麦大枣汤
安神补心丸,https://zhongyibaike.com/wiki/安神补心丸
安宫牛黄丸,https://zhongyibaike.com/wiki/安宫牛黄丸
牛黄清心丸,https://zhongyibaike.com/wiki/牛黄清心丸
紫雪丹,https://zhongyibaike.com/wiki/紫雪丹
十香返生丸,https://zhongyibaike.com/wiki/十香返生丸
小儿回春丹,https://zhongyibaike.com/wiki/小儿回春丹
行军散,https://zhongyibaike.com/wiki/行军散
至宝丹,https://zhongyibaike.com/wiki/至宝丹
人丹,https://zhongyibaike.com/wiki/人丹
麝香保心丸,https://zhongyibaike.com/wiki/麝香保心丸
苏合香丸,https://zhongyibaike.com/wiki/苏合香丸
紫金锭,https://zhongyibaike.com/wiki/紫金锭
冠心苏合丸,https://zhongyibaike.com/wiki/冠心苏合丸
越鞠丸,https://zhongyibaike.com/wiki/越鞠丸
瓜蒌薤白半夏汤,https://zhongyibaike.com/wiki/瓜蒌薤白半夏汤
瓜蒌薤白白酒汤,https://zhongyibaike.com/wiki/瓜蒌薤白白酒汤
增味四物汤,https://zhongyibaike.com/wiki/增味四物汤
金铃子散,https://zhongyibaike.com/wiki/金铃子散
珍宝饮,https://zhongyibaike.com/wiki/珍宝饮
延胡索汤,https://zhongyibaike.com/wiki/延胡索汤
良附丸,https://zhongyibaike.com/wiki/良附丸
半夏厚朴汤,https://zhongyibaike.com/wiki/半夏厚朴汤
厚朴温中汤,https://zhongyibaike.com/wiki/厚朴温中汤
天台乌药散,https://zhongyibaike.com/wiki/天台乌药散
暖肝煎,https://zhongyibaike.com/wiki/暖肝煎
橘核丸,https://zhongyibaike.com/wiki/橘核丸
四磨汤,https://zhongyibaike.com/wiki/四磨汤
定喘汤,https://zhongyibaike.com/wiki/定喘汤
导气汤,https://zhongyibaike.com/wiki/导气汤
三层茴香丸,https://zhongyibaike.com/wiki/三层茴香丸
五磨饮子,https://zhongyibaike.com/wiki/五磨饮子
香砂养胃丸,https://zhongyibaike.com/wiki/香砂养胃丸
茴香橘核丸,https://zhongyibaike.com/wiki/茴香橘核丸
越鞠保和丸,https://zhongyibaike.com/wiki/越鞠保和丸
木香顺气丸,https://zhongyibaike.com/wiki/木香顺气丸
香棱丸,https://zhongyibaike.com/wiki/香棱丸
乌药汤,https://zhongyibaike.com/wiki/乌药汤
橘皮丸,https://zhongyibaike.com/wiki/橘皮丸
枣肉平胃散,https://zhongyibaike.com/wiki/枣肉平胃散
苏子降气汤,https://zhongyibaike.com/wiki/苏子降气汤
小半夏汤,https://zhongyibaike.com/wiki/小半夏汤
小半夏加茯苓汤,https://zhongyibaike.com/wiki/小半夏加茯苓汤
大半夏汤,https://zhongyibaike.com/wiki/大半夏汤
干姜人参半夏丸,https://zhongyibaike.com/wiki/干姜人参半夏丸
旋覆代赭汤,https://zhongyibaike.com/wiki/旋覆代赭汤
橘皮竹茹汤,https://zhongyibaike.com/wiki/橘皮竹茹汤
丁香柿蒂汤,https://zhongyibaike.com/wiki/丁香柿蒂汤
新制橘皮竹茹汤,https://zhongyibaike.com/wiki/新制橘皮竹茹汤
厚朴麻黄汤,https://zhongyibaike.com/wiki/厚朴麻黄汤
枳实薤白桂枝汤,https://zhongyibaike.com/wiki/枳实薤白桂枝汤
