中药名称,中药名称对应的URL
鸭跖草,https://zhongyibaike.com/wiki/鸭跖草
密蒙花,https://zhongyibaike.com/wiki/密蒙花
青葙子,https://zhongyibaike.com/wiki/青葙子
蔗鸡,https://zhongyibaike.com/wiki/蔗鸡
知母,https://zhongyibaike.com/wiki/知母
芦根,https://zhongyibaike.com/wiki/芦根
天花粉,https://zhongyibaike.com/wiki/天花粉
淡竹叶,https://zhongyibaike.com/wiki/淡竹叶
栀子,https://zhongyibaike.com/wiki/栀子
夏枯草,https://zhongyibaike.com/wiki/夏枯草
决明子,https://zhongyibaike.com/wiki/决明子
谷精草,https://zhongyibaike.com/wiki/谷精草
人中白,https://zhongyibaike.com/wiki/人中白
秋石,https://zhongyibaike.com/wiki/秋石
咸秋石,https://zhongyibaike.com/wiki/咸秋石
芦竹笋,https://zhongyibaike.com/wiki/芦竹笋
车桑子根,https://zhongyibaike.com/wiki/车桑子根
功劳木,https://zhongyibaike.com/wiki/功劳木
黄芩,https://zhongyibaike.com/wiki/黄芩
黄连,https://zhongyibaike.com/wiki/黄连
黄柏,https://zhongyibaike.com/wiki/黄柏
龙胆,https://zhongyibaike.com/wiki/龙胆
蚌粉,https://zhongyibaike.com/wiki/蚌粉
苦参,https://zhongyibaike.com/wiki/苦参
秦皮,https://zhongyibaike.com/wiki/秦皮
白背叶根,https://zhongyibaike.com/wiki/白背叶根
白鲜皮,https://zhongyibaike.com/wiki/白鲜皮
马尾连,https://zhongyibaike.com/wiki/马尾连
三颗针,https://zhongyibaike.com/wiki/三颗针
当药,https://zhongyibaike.com/wiki/当药
败毒草,https://zhongyibaike.com/wiki/败毒草
水鳖,https://zhongyibaike.com/wiki/水鳖
金银花,https://zhongyibaike.com/wiki/金银花
翼首草,https://zhongyibaike.com/wiki/翼首草
连翘,https://zhongyibaike.com/wiki/连翘
通光散,https://zhongyibaike.com/wiki/通光散
火炭母草,https://zhongyibaike.com/wiki/火炭母草
大过路黄,https://zhongyibaike.com/wiki/大过路黄
开口箭,https://zhongyibaike.com/wiki/开口箭
粉苞苣,https://zhongyibaike.com/wiki/粉苞苣
木槿花,https://zhongyibaike.com/wiki/木槿花
黄花稔,https://zhongyibaike.com/wiki/黄花稔
了哥王,https://zhongyibaike.com/wiki/了哥王
十大功劳叶,https://zhongyibaike.com/wiki/十大功劳叶
鹿茸草,https://zhongyibaike.com/wiki/鹿茸草
朱砂七,https://zhongyibaike.com/wiki/朱砂七
犁头草,https://zhongyibaike.com/wiki/犁头草
三白草,https://zhongyibaike.com/wiki/三白草
牛耳大黄,https://zhongyibaike.com/wiki/牛耳大黄
毛大丁草,https://zhongyibaike.com/wiki/毛大丁草
迎春花叶,https://zhongyibaike.com/wiki/迎春花叶
大蕉皮,https://zhongyibaike.com/wiki/大蕉皮
算盘子根,https://zhongyibaike.com/wiki/算盘子根
三叶鬼针草,https://zhongyibaike.com/wiki/三叶鬼针草
天青地白,https://zhongyibaike.com/wiki/天青地白
十大功劳根,https://zhongyibaike.com/wiki/十大功劳根
三叶青,https://zhongyibaike.com/wiki/三叶青
铁筷子,https://zhongyibaike.com/wiki/铁筷子
蝌蚪,https://zhongyibaike.com/wiki/蝌蚪
菜子油,https://zhongyibaike.com/wiki/菜子油
羊髓,https://zhongyibaike.com/wiki/羊髓
绿豆粉,https://zhongyibaike.com/wiki/绿豆粉
蔷薇根,https://zhongyibaike.com/wiki/蔷薇根
紫茉莉根,https://zhongyibaike.com/wiki/紫茉莉根
苇茎,https://zhongyibaike.com/wiki/苇茎
豆腐,https://zhongyibaike.com/wiki/豆腐
地柏枝,https://zhongyibaike.com/wiki/地柏枝
竹叶卷心,https://zhongyibaike.com/wiki/竹叶卷心
番桃叶,https://zhongyibaike.com/wiki/番桃叶
大青根,https://zhongyibaike.com/wiki/大青根
蟾皮,https://zhongyibaike.com/wiki/蟾皮
水田七,https://zhongyibaike.com/wiki/水田七
穿心莲,https://zhongyibaike.com/wiki/穿心莲
虾蟆,https://zhongyibaike.com/wiki/虾蟆
金龙胆草,https://zhongyibaike.com/wiki/金龙胆草
铁屑,https://zhongyibaike.com/wiki/铁屑
大青叶,https://zhongyibaike.com/wiki/大青叶
板蓝根,https://zhongyibaike.com/wiki/板蓝根
莼,https://zhongyibaike.com/wiki/莼
马宝,https://zhongyibaike.com/wiki/马宝
冬瓜,https://zhongyibaike.com/wiki/冬瓜
酱,https://zhongyibaike.com/wiki/酱
鸡子白,https://zhongyibaike.com/wiki/鸡子白
甘蔗,https://zhongyibaike.com/wiki/甘蔗
青黛,https://zhongyibaike.com/wiki/青黛
猪胆,https://zhongyibaike.com/wiki/猪胆
石见穿,https://zhongyibaike.com/wiki/石见穿
荔枝草,https://zhongyibaike.com/wiki/荔枝草
重楼,https://zhongyibaike.com/wiki/重楼
拳参,https://zhongyibaike.com/wiki/拳参
漏芦,https://zhongyibaike.com/wiki/漏芦
金荞麦,https://zhongyibaike.com/wiki/金荞麦
墓头回,https://zhongyibaike.com/wiki/墓头回
北豆根,https://zhongyibaike.com/wiki/北豆根
野菊花,https://zhongyibaike.com/wiki/野菊花
贯众,https://zhongyibaike.com/wiki/贯众
六月雪,https://zhongyibaike.com/wiki/六月雪
鱼腥草,https://zhongyibaike.com/wiki/鱼腥草
蒲公英,https://zhongyibaike.com/wiki/蒲公英
人中黄,https://zhongyibaike.com/wiki/人中黄
紫花地丁,https://zhongyibaike.com/wiki/紫花地丁
败酱草,https://zhongyibaike.com/wiki/败酱草
大血藤,https://zhongyibaike.com/wiki/大血藤
土贝母,https://zhongyibaike.com/wiki/土贝母
葎草,https://zhongyibaike.com/wiki/葎草
土茯苓,https://zhongyibaike.com/wiki/土茯苓
马鞭草,https://zhongyibaike.com/wiki/马鞭草
白花蛇舌草,https://zhongyibaike.com/wiki/白花蛇舌草
积雪草,https://zhongyibaike.com/wiki/积雪草
射干,https://zhongyibaike.com/wiki/射干
山豆根,https://zhongyibaike.com/wiki/山豆根
山慈菇,https://zhongyibaike.com/wiki/山慈菇
忍冬藤,https://zhongyibaike.com/wiki/忍冬藤
马勃,https://zhongyibaike.com/wiki/马勃
青果,https://zhongyibaike.com/wiki/青果
金果榄,https://zhongyibaike.com/wiki/金果榄
鸦胆子,https://zhongyibaike.com/wiki/鸦胆子
地锦草,https://zhongyibaike.com/wiki/地锦草
锦灯笼,https://zhongyibaike.com/wiki/锦灯笼
天葵子,https://zhongyibaike.com/wiki/天葵子
一枝黄花,https://zhongyibaike.com/wiki/一枝黄花
木蝴蝶,https://zhongyibaike.com/wiki/木蝴蝶
委陵菜,https://zhongyibaike.com/wiki/委陵菜
翻白草,https://zhongyibaike.com/wiki/翻白草
龙葵,https://zhongyibaike.com/wiki/龙葵
半边莲,https://zhongyibaike.com/wiki/半边莲
半枝莲,https://zhongyibaike.com/wiki/半枝莲
凤尾草,https://zhongyibaike.com/wiki/凤尾草
熊胆,https://zhongyibaike.com/wiki/熊胆
千里光,https://zhongyibaike.com/wiki/千里光
山海螺,https://zhongyibaike.com/wiki/山海螺
绿豆,https://zhongyibaike.com/wiki/绿豆
白英,https://zhongyibaike.com/wiki/白英
绿豆衣,https://zhongyibaike.com/wiki/绿豆衣
白蔹,https://zhongyibaike.com/wiki/白蔹
马齿苋,https://zhongyibaike.com/wiki/马齿苋
白头翁,https://zhongyibaike.com/wiki/白头翁
山银花,https://zhongyibaike.com/wiki/山银花
飞扬草,https://zhongyibaike.com/wiki/飞扬草
云芝,https://zhongyibaike.com/wiki/云芝
木棉花,https://zhongyibaike.com/wiki/木棉花
连钱草,https://zhongyibaike.com/wiki/连钱草
四季青,https://zhongyibaike.com/wiki/四季青
西瓜霜,https://zhongyibaike.com/wiki/西瓜霜
杠板归,https://zhongyibaike.com/wiki/杠板归
臭灵丹草,https://zhongyibaike.com/wiki/臭灵丹草
毛诃子,https://zhongyibaike.com/wiki/毛诃子
水飞蓟,https://zhongyibaike.com/wiki/水飞蓟
苦木,https://zhongyibaike.com/wiki/苦木
苦玄参,https://zhongyibaike.com/wiki/苦玄参
草乌叶,https://zhongyibaike.com/wiki/草乌叶
南板蓝根,https://zhongyibaike.com/wiki/南板蓝根
洪连,https://zhongyibaike.com/wiki/洪连
高山辣根菜,https://zhongyibaike.com/wiki/高山辣根菜
通关藤,https://zhongyibaike.com/wiki/通关藤
黄藤,https://zhongyibaike.com/wiki/黄藤
菥蓂,https://zhongyibaike.com/wiki/菥蓂
救必应,https://zhongyibaike.com/wiki/救必应
紫萁贯众,https://zhongyibaike.com/wiki/紫萁贯众
蓼大青叶,https://zhongyibaike.com/wiki/蓼大青叶
万年青,https://zhongyibaike.com/wiki/万年青
大叶金花草,https://zhongyibaike.com/wiki/大叶金花草
猫人参,https://zhongyibaike.com/wiki/猫人参
刺柏,https://zhongyibaike.com/wiki/刺柏
白薯莨,https://zhongyibaike.com/wiki/白薯莨
菱,https://zhongyibaike.com/wiki/菱
榕须,https://zhongyibaike.com/wiki/榕须
虎掌草,https://zhongyibaike.com/wiki/虎掌草
水苋菜,https://zhongyibaike.com/wiki/水苋菜
大花马齿苋,https://zhongyibaike.com/wiki/大花马齿苋
木薯,https://zhongyibaike.com/wiki/木薯
狗肝菜,https://zhongyibaike.com/wiki/狗肝菜
马银花,https://zhongyibaike.com/wiki/马银花
山药藤,https://zhongyibaike.com/wiki/山药藤
水杨梅根,https://zhongyibaike.com/wiki/水杨梅根
凉粉草,https://zhongyibaike.com/wiki/凉粉草
海木,https://zhongyibaike.com/wiki/海木
方解石,https://zhongyibaike.com/wiki/方解石
苘麻,https://zhongyibaike.com/wiki/苘麻
草石蚕,https://zhongyibaike.com/wiki/草石蚕
八角莲,https://zhongyibaike.com/wiki/八角莲
鹅掌金星草,https://zhongyibaike.com/wiki/鹅掌金星草
鬼针草,https://zhongyibaike.com/wiki/鬼针草
蟛蜞菊,https://zhongyibaike.com/wiki/蟛蜞菊
腹水草,https://zhongyibaike.com/wiki/腹水草
百蕊草,https://zhongyibaike.com/wiki/百蕊草
狗尾草,https://zhongyibaike.com/wiki/狗尾草
狗舌草,https://zhongyibaike.com/wiki/狗舌草
毛嘴签,https://zhongyibaike.com/wiki/毛嘴签
牛奶子,https://zhongyibaike.com/wiki/牛奶子
边缘鳞盖蕨,https://zhongyibaike.com/wiki/边缘鳞盖蕨
牛舌草,https://zhongyibaike.com/wiki/牛舌草
大金刀,https://zhongyibaike.com/wiki/大金刀
鸡眼草,https://zhongyibaike.com/wiki/鸡眼草
布朗耳蕨,https://zhongyibaike.com/wiki/布朗耳蕨
牛奶莓,https://zhongyibaike.com/wiki/牛奶莓
半春莲,https://zhongyibaike.com/wiki/半春莲
米碎花根,https://zhongyibaike.com/wiki/米碎花根
毛花点草,https://zhongyibaike.com/wiki/毛花点草
打破碗花花,https://zhongyibaike.com/wiki/打破碗花花
大丁草,https://zhongyibaike.com/wiki/大丁草
灰贯众,https://zhongyibaike.com/wiki/灰贯众
牛筋果,https://zhongyibaike.com/wiki/牛筋果
一点红,https://zhongyibaike.com/wiki/一点红
毛冬青,https://zhongyibaike.com/wiki/毛冬青
翠云草,https://zhongyibaike.com/wiki/翠云草
水线草,https://zhongyibaike.com/wiki/水线草
大沙叶,https://zhongyibaike.com/wiki/大沙叶
水蜈蚣,https://zhongyibaike.com/wiki/水蜈蚣
石仙桃,https://zhongyibaike.com/wiki/石仙桃
百眼藤,https://zhongyibaike.com/wiki/百眼藤
铁扫帚,https://zhongyibaike.com/wiki/铁扫帚
阴地蕨,https://zhongyibaike.com/wiki/阴地蕨
爵床,https://zhongyibaike.com/wiki/爵床
石上柏,https://zhongyibaike.com/wiki/石上柏
地不容,https://zhongyibaike.com/wiki/地不容
罗锅底,https://zhongyibaike.com/wiki/罗锅底
农吉利,https://zhongyibaike.com/wiki/农吉利
萝芙木,https://zhongyibaike.com/wiki/萝芙木
凤尾猪鬃草,https://zhongyibaike.com/wiki/凤尾猪鬃草
小叶野决明,https://zhongyibaike.com/wiki/小叶野决明
马槟榔,https://zhongyibaike.com/wiki/马槟榔
马瓞儿,https://zhongyibaike.com/wiki/马瓞儿
蚕茧,https://zhongyibaike.com/wiki/蚕茧
胡桐泪,https://zhongyibaike.com/wiki/胡桐泪
菊花叶,https://zhongyibaike.com/wiki/菊花叶
蜡梅花,https://zhongyibaike.com/wiki/蜡梅花
苦竹叶,https://zhongyibaike.com/wiki/苦竹叶
芙蓉叶,https://zhongyibaike.com/wiki/芙蓉叶
三丫苦叶,https://zhongyibaike.com/wiki/三丫苦叶
黑面叶,https://zhongyibaike.com/wiki/黑面叶
狼把草,https://zhongyibaike.com/wiki/狼把草
剪刀草,https://zhongyibaike.com/wiki/剪刀草
小金钱草,https://zhongyibaike.com/wiki/小金钱草
牛筋草,https://zhongyibaike.com/wiki/牛筋草
鱼鳖金星,https://zhongyibaike.com/wiki/鱼鳖金星
瓶尔小草,https://zhongyibaike.com/wiki/瓶尔小草
酢浆草,https://zhongyibaike.com/wiki/酢浆草
芭蕉根,https://zhongyibaike.com/wiki/芭蕉根
藤梨根,https://zhongyibaike.com/wiki/藤梨根
了哥王根,https://zhongyibaike.com/wiki/了哥王根
地桃花,https://zhongyibaike.com/wiki/地桃花
东风菜,https://zhongyibaike.com/wiki/东风菜
海芋,https://zhongyibaike.com/wiki/海芋
马蔺子,https://zhongyibaike.com/wiki/马蔺子
降龙草,https://zhongyibaike.com/wiki/降龙草
铁锈,https://zhongyibaike.com/wiki/铁锈
无花果,https://zhongyibaike.com/wiki/无花果
金莲花,https://zhongyibaike.com/wiki/金莲花
四叶草,https://zhongyibaike.com/wiki/四叶草
玛瑙,https://zhongyibaike.com/wiki/玛瑙
野苋菜,https://zhongyibaike.com/wiki/野苋菜
甘草节,https://zhongyibaike.com/wiki/甘草节
桉叶,https://zhongyibaike.com/wiki/桉叶
蝴蝶花,https://zhongyibaike.com/wiki/蝴蝶花
银花子,https://zhongyibaike.com/wiki/银花子
罗勒子,https://zhongyibaike.com/wiki/罗勒子
百两金,https://zhongyibaike.com/wiki/百两金
茶树根,https://zhongyibaike.com/wiki/茶树根
苦瓜叶,https://zhongyibaike.com/wiki/苦瓜叶
丝瓜皮,https://zhongyibaike.com/wiki/丝瓜皮
丝瓜叶,https://zhongyibaike.com/wiki/丝瓜叶
莴苣,https://zhongyibaike.com/wiki/莴苣
芥蓝,https://zhongyibaike.com/wiki/芥蓝
绿豆叶,https://zhongyibaike.com/wiki/绿豆叶
阳桃,https://zhongyibaike.com/wiki/阳桃
虫豆,https://zhongyibaike.com/wiki/虫豆
丝瓜花,https://zhongyibaike.com/wiki/丝瓜花
黄瓜叶,https://zhongyibaike.com/wiki/黄瓜叶
椿叶,https://zhongyibaike.com/wiki/椿叶
桃叶,https://zhongyibaike.com/wiki/桃叶
蚬肉,https://zhongyibaike.com/wiki/蚬肉
七星剑,https://zhongyibaike.com/wiki/七星剑
夜香牛,https://zhongyibaike.com/wiki/夜香牛
眼睛草,https://zhongyibaike.com/wiki/眼睛草
水珍珠菜,https://zhongyibaike.com/wiki/水珍珠菜
丝毛毛毡草,https://zhongyibaike.com/wiki/丝毛毛毡草
石蝉草,https://zhongyibaike.com/wiki/石蝉草
长叶山芝麻,https://zhongyibaike.com/wiki/长叶山芝麻
牛含水,https://zhongyibaike.com/wiki/牛含水
白粉藤,https://zhongyibaike.com/wiki/白粉藤
白接骨,https://zhongyibaike.com/wiki/白接骨
天脚板,https://zhongyibaike.com/wiki/天脚板
岩节连,https://zhongyibaike.com/wiki/岩节连
石地钱,https://zhongyibaike.com/wiki/石地钱
灰叶,https://zhongyibaike.com/wiki/灰叶
金钟花,https://zhongyibaike.com/wiki/金钟花
青天葵,https://zhongyibaike.com/wiki/青天葵
石油菜,https://zhongyibaike.com/wiki/石油菜
宜昌楼梯草,https://zhongyibaike.com/wiki/宜昌楼梯草
金腰箭,https://zhongyibaike.com/wiki/金腰箭
金挖耳,https://zhongyibaike.com/wiki/金挖耳
地毛衣,https://zhongyibaike.com/wiki/地毛衣
苦瓜,https://zhongyibaike.com/wiki/苦瓜
金鸡尾,https://zhongyibaike.com/wiki/金鸡尾
绿豆芽,https://zhongyibaike.com/wiki/绿豆芽
鳝鱼骨,https://zhongyibaike.com/wiki/鳝鱼骨
桑叶汁,https://zhongyibaike.com/wiki/桑叶汁
菱叶,https://zhongyibaike.com/wiki/菱叶
扁豆叶,https://zhongyibaike.com/wiki/扁豆叶
菱茎,https://zhongyibaike.com/wiki/菱茎
黄瓜,https://zhongyibaike.com/wiki/黄瓜
丝瓜,https://zhongyibaike.com/wiki/丝瓜
蚯蚓泥,https://zhongyibaike.com/wiki/蚯蚓泥
三角泡,https://zhongyibaike.com/wiki/三角泡
鲫鱼胆,https://zhongyibaike.com/wiki/鲫鱼胆
淡竹壳,https://zhongyibaike.com/wiki/淡竹壳
冬瓜叶,https://zhongyibaike.com/wiki/冬瓜叶
磨盘草,https://zhongyibaike.com/wiki/磨盘草
铧头草,https://zhongyibaike.com/wiki/铧头草
老蜗生,https://zhongyibaike.com/wiki/老蜗生
朱砂莲,https://zhongyibaike.com/wiki/朱砂莲
一朵云叶,https://zhongyibaike.com/wiki/一朵云叶
鲎肉,https://zhongyibaike.com/wiki/鲎肉
米面蓊根,https://zhongyibaike.com/wiki/米面蓊根
大理菊,https://zhongyibaike.com/wiki/大理菊
干岩矸,https://zhongyibaike.com/wiki/干岩矸
岩败酱,https://zhongyibaike.com/wiki/岩败酱
软水黄连,https://zhongyibaike.com/wiki/软水黄连
大叶马尾连,https://zhongyibaike.com/wiki/大叶马尾连
小叶鼠李,https://zhongyibaike.com/wiki/小叶鼠李
铁苋菜,https://zhongyibaike.com/wiki/铁苋菜
点地梅,https://zhongyibaike.com/wiki/点地梅
乌蔹莓,https://zhongyibaike.com/wiki/乌蔹莓
蜜桶花,https://zhongyibaike.com/wiki/蜜桶花
仙人掌,https://zhongyibaike.com/wiki/仙人掌
水杨梅,https://zhongyibaike.com/wiki/水杨梅
尖叶小羽藓,https://zhongyibaike.com/wiki/尖叶小羽藓
小叶山鸡尾巴草,https://zhongyibaike.com/wiki/小叶山鸡尾巴草
大马蓼,https://zhongyibaike.com/wiki/大马蓼
地菍,https://zhongyibaike.com/wiki/地菍
车桑子叶,https://zhongyibaike.com/wiki/车桑子叶
天水蚁草,https://zhongyibaike.com/wiki/天水蚁草
太白菊,https://zhongyibaike.com/wiki/太白菊
灰藋,https://zhongyibaike.com/wiki/灰藋
中华蹄盖蕨,https://zhongyibaike.com/wiki/中华蹄盖蕨
水白蜡,https://zhongyibaike.com/wiki/水白蜡
马牙七,https://zhongyibaike.com/wiki/马牙七
水梨藤,https://zhongyibaike.com/wiki/水梨藤
石腊红,https://zhongyibaike.com/wiki/石腊红
石萝藦,https://zhongyibaike.com/wiki/石萝藦
地黄,https://zhongyibaike.com/wiki/地黄
玄参,https://zhongyibaike.com/wiki/玄参
葛花,https://zhongyibaike.com/wiki/葛花
犀角,https://zhongyibaike.com/wiki/犀角
玉芙蓉,https://zhongyibaike.com/wiki/玉芙蓉
苦地胆,https://zhongyibaike.com/wiki/苦地胆
苹果叶,https://zhongyibaike.com/wiki/苹果叶
蛇莓,https://zhongyibaike.com/wiki/蛇莓
问荆,https://zhongyibaike.com/wiki/问荆
荷叶,https://zhongyibaike.com/wiki/荷叶
白毛夏枯草,https://zhongyibaike.com/wiki/白毛夏枯草
藕,https://zhongyibaike.com/wiki/藕
牡丹皮,https://zhongyibaike.com/wiki/牡丹皮
赤芍,https://zhongyibaike.com/wiki/赤芍
水牛角,https://zhongyibaike.com/wiki/水牛角
紫草,https://zhongyibaike.com/wiki/紫草
大青盐,https://zhongyibaike.com/wiki/大青盐
余甘子,https://zhongyibaike.com/wiki/余甘子
长叶柄野扇花,https://zhongyibaike.com/wiki/长叶柄野扇花
吊竹梅,https://zhongyibaike.com/wiki/吊竹梅
兴安白头翁,https://zhongyibaike.com/wiki/兴安白头翁
波叶大黄,https://zhongyibaike.com/wiki/波叶大黄
建兰叶,https://zhongyibaike.com/wiki/建兰叶
青蒿,https://zhongyibaike.com/wiki/青蒿
白薇,https://zhongyibaike.com/wiki/白薇
地骨皮,https://zhongyibaike.com/wiki/地骨皮
胡黄连,https://zhongyibaike.com/wiki/胡黄连
银柴胡,https://zhongyibaike.com/wiki/银柴胡
功劳子,https://zhongyibaike.com/wiki/功劳子
牡蒿,https://zhongyibaike.com/wiki/牡蒿
大黄,https://zhongyibaike.com/wiki/大黄
芒硝,https://zhongyibaike.com/wiki/芒硝
玄明粉,https://zhongyibaike.com/wiki/玄明粉
番泻叶,https://zhongyibaike.com/wiki/番泻叶
芦荟,https://zhongyibaike.com/wiki/芦荟
蓖麻子,https://zhongyibaike.com/wiki/蓖麻子
木莲果,https://zhongyibaike.com/wiki/木莲果
火麻仁,https://zhongyibaike.com/wiki/火麻仁
郁李仁,https://zhongyibaike.com/wiki/郁李仁
亚麻子,https://zhongyibaike.com/wiki/亚麻子
猪脂膏,https://zhongyibaike.com/wiki/猪脂膏
麻油,https://zhongyibaike.com/wiki/麻油
松子仁,https://zhongyibaike.com/wiki/松子仁
猪肠,https://zhongyibaike.com/wiki/猪肠
甘遂,https://zhongyibaike.com/wiki/甘遂
京大戟,https://zhongyibaike.com/wiki/京大戟
乌桕根,https://zhongyibaike.com/wiki/乌桕根
红大戟,https://zhongyibaike.com/wiki/红大戟
芫花,https://zhongyibaike.com/wiki/芫花
商陆,https://zhongyibaike.com/wiki/商陆
牵牛子,https://zhongyibaike.com/wiki/牵牛子
千金子,https://zhongyibaike.com/wiki/千金子
巴豆,https://zhongyibaike.com/wiki/巴豆
巴豆霜,https://zhongyibaike.com/wiki/巴豆霜
千金子霜,https://zhongyibaike.com/wiki/千金子霜
独活,https://zhongyibaike.com/wiki/独活
椰子壳,https://zhongyibaike.com/wiki/椰子壳
红楤木,https://zhongyibaike.com/wiki/红楤木
柳枝,https://zhongyibaike.com/wiki/柳枝
鹅脚板,https://zhongyibaike.com/wiki/鹅脚板
鸡骨香,https://zhongyibaike.com/wiki/鸡骨香
马鞍藤,https://zhongyibaike.com/wiki/马鞍藤
天蓬草,https://zhongyibaike.com/wiki/天蓬草
蒴藋,https://zhongyibaike.com/wiki/蒴藋
楤木根,https://zhongyibaike.com/wiki/楤木根
芋儿七,https://zhongyibaike.com/wiki/芋儿七
枸骨根,https://zhongyibaike.com/wiki/枸骨根
祖师麻,https://zhongyibaike.com/wiki/祖师麻
红茴香根,https://zhongyibaike.com/wiki/红茴香根
石燕,https://zhongyibaike.com/wiki/石燕
毛麝香,https://zhongyibaike.com/wiki/毛麝香
荠菜子,https://zhongyibaike.com/wiki/荠菜子
臭牡丹根,https://zhongyibaike.com/wiki/臭牡丹根
海蜇皮,https://zhongyibaike.com/wiki/海蜇皮
香樟,https://zhongyibaike.com/wiki/香樟
柳白皮,https://zhongyibaike.com/wiki/柳白皮
曼陀罗子,https://zhongyibaike.com/wiki/曼陀罗子
假蒟,https://zhongyibaike.com/wiki/假蒟
艾纳香,https://zhongyibaike.com/wiki/艾纳香
威灵仙,https://zhongyibaike.com/wiki/威灵仙
川乌,https://zhongyibaike.com/wiki/川乌
草乌,https://zhongyibaike.com/wiki/草乌
蛇蜕,https://zhongyibaike.com/wiki/蛇蜕
槐白皮,https://zhongyibaike.com/wiki/槐白皮
香加皮,https://zhongyibaike.com/wiki/香加皮
两头尖,https://zhongyibaike.com/wiki/两头尖
金铁锁,https://zhongyibaike.com/wiki/金铁锁
防己,https://zhongyibaike.com/wiki/防己
水栀根,https://zhongyibaike.com/wiki/水栀根
乌口树,https://zhongyibaike.com/wiki/乌口树
白杨树皮,https://zhongyibaike.com/wiki/白杨树皮
常春藤,https://zhongyibaike.com/wiki/常春藤
八楞木,https://zhongyibaike.com/wiki/八楞木
六轴子,https://zhongyibaike.com/wiki/六轴子
石楠叶,https://zhongyibaike.com/wiki/石楠叶
松节,https://zhongyibaike.com/wiki/松节
秦艽,https://zhongyibaike.com/wiki/秦艽
木瓜,https://zhongyibaike.com/wiki/木瓜
侧子,https://zhongyibaike.com/wiki/侧子
滚山虫,https://zhongyibaike.com/wiki/滚山虫
见血飞,https://zhongyibaike.com/wiki/见血飞
樟木,https://zhongyibaike.com/wiki/樟木
枫荷梨,https://zhongyibaike.com/wiki/枫荷梨
三角风,https://zhongyibaike.com/wiki/三角风
穿破石,https://zhongyibaike.com/wiki/穿破石
钻地风,https://zhongyibaike.com/wiki/钻地风
猕猴骨,https://zhongyibaike.com/wiki/猕猴骨
海风藤,https://zhongyibaike.com/wiki/海风藤
青风藤,https://zhongyibaike.com/wiki/青风藤
丁公藤,https://zhongyibaike.com/wiki/丁公藤
路路通,https://zhongyibaike.com/wiki/路路通
透骨草,https://zhongyibaike.com/wiki/透骨草
寻骨风,https://zhongyibaike.com/wiki/寻骨风
蚕沙,https://zhongyibaike.com/wiki/蚕沙
伸筋草,https://zhongyibaike.com/wiki/伸筋草
四念癀,https://zhongyibaike.com/wiki/四念癀
菝葜,https://zhongyibaike.com/wiki/菝葜
桑枝,https://zhongyibaike.com/wiki/桑枝
海桐皮,https://zhongyibaike.com/wiki/海桐皮
